Instance,SIB Ratio
0,0.6428571428571429
1,0.7071428571428572
2,0.6857142857142857
3,0.6464285714285715
4,0.6464285714285715
5,0.6642857142857143
6,0.675
7,0.6428571428571429
8,0.6357142857142857
9,0.6535714285714286
10,0.7035714285714286
11,0.6714285714285714
12,0.6642857142857143
13,0.6642857142857143
14,0.65
15,0.675
16,0.6678571428571428
17,0.6642857142857143
18,0.6678571428571428
19,0.6321428571428571
20,0.6535714285714286
21,0.6892857142857143
22,0.6678571428571428
23,0.6607142857142857
24,0.6428571428571429
25,0.6892857142857143
26,0.7
27,0.6678571428571428
28,0.7
29,0.6642857142857143
30,0.6857142857142857
31,0.7035714285714286
32,0.6714285714285714
33,0.6142857142857143
34,0.6928571428571428
35,0.6964285714285714
36,0.6642857142857143
37,0.6321428571428571
38,0.675
39,0.6714285714285714
40,0.6785714285714286
41,0.6821428571428572
42,0.675
43,0.65
44,0.6714285714285714
45,0.7142857142857143
46,0.6892857142857143
47,0.65
48,0.6642857142857143
49,0.6642857142857143
50,0.7035714285714286
51,0.6571428571428571
52,0.6785714285714286
53,0.6357142857142857
54,0.6428571428571429
55,0.7
56,0.6571428571428571
57,0.6714285714285714
58,0.6892857142857143
59,0.6821428571428572
60,0.6821428571428572
61,0.675
62,0.6892857142857143
63,0.6857142857142857
64,0.6892857142857143
65,0.6892857142857143
66,0.6571428571428571
67,0.6857142857142857
68,0.6821428571428572
69,0.625
70,0.6357142857142857
71,0.6857142857142857
72,0.6571428571428571
73,0.6678571428571428
74,0.6892857142857143
75,0.6892857142857143
76,0.6678571428571428
77,0.6678571428571428
78,0.6892857142857143
79,0.6642857142857143
80,0.7035714285714286
81,0.675
82,0.6714285714285714
83,0.6321428571428571
84,0.6892857142857143
85,0.6678571428571428
86,0.6785714285714286
87,0.6821428571428572
88,0.7035714285714286
89,0.7071428571428572
90,0.675
91,0.6607142857142857
92,0.6571428571428571
93,0.6964285714285714
94,0.6857142857142857
95,0.6821428571428572
96,0.6928571428571428
97,0.65
98,0.7071428571428572
99,0.6785714285714286
100,0.6464285714285715
101,0.6678571428571428
102,0.675
103,0.6571428571428571
104,0.65
105,0.6642857142857143
106,0.6678571428571428
107,0.6642857142857143
108,0.6821428571428572
109,0.6392857142857142
110,0.6928571428571428
111,0.6285714285714286
112,0.675
113,0.6714285714285714
114,0.675
115,0.675
116,0.65
117,0.625
118,0.6607142857142857
119,0.6857142857142857
120,0.6607142857142857
121,0.6357142857142857
122,0.6785714285714286
123,0.6892857142857143
124,0.7
125,0.675
126,0.7035714285714286
127,0.6392857142857142
128,0.6857142857142857
129,0.6785714285714286
130,0.6535714285714286
131,0.675
132,0.6678571428571428
133,0.6785714285714286
134,0.6857142857142857
135,0.6785714285714286
136,0.6392857142857142
137,0.6785714285714286
138,0.6357142857142857
139,0.7107142857142857
140,0.6642857142857143
141,0.6857142857142857
142,0.6678571428571428
143,0.6928571428571428
144,0.6642857142857143
145,0.6678571428571428
146,0.6964285714285714
147,0.6571428571428571
148,0.6857142857142857
149,0.6392857142857142
150,0.6678571428571428
151,0.6678571428571428
152,0.6928571428571428
153,0.7071428571428572
154,0.6857142857142857
155,0.6785714285714286
156,0.6642857142857143
157,0.6678571428571428
158,0.6821428571428572
159,0.6428571428571429
160,0.6571428571428571
161,0.6714285714285714
162,0.6357142857142857
163,0.6535714285714286
164,0.7
165,0.675
166,0.6607142857142857
167,0.6642857142857143
168,0.7035714285714286
169,0.6464285714285715
170,0.6785714285714286
171,0.6857142857142857
172,0.7035714285714286
173,0.6607142857142857
174,0.6607142857142857
175,0.6821428571428572
176,0.7071428571428572
177,0.6428571428571429
178,0.6857142857142857
179,0.6642857142857143
180,0.675
181,0.6464285714285715
182,0.6392857142857142
183,0.6464285714285715
184,0.6392857142857142
185,0.6821428571428572
186,0.6892857142857143
187,0.6571428571428571
188,0.6821428571428572
189,0.6714285714285714
190,0.6857142857142857
191,0.675
192,0.6642857142857143
193,0.6535714285714286
194,0.6285714285714286
195,0.6642857142857143
196,0.6785714285714286
197,0.6714285714285714
198,0.6785714285714286
199,0.675
